manufacturer,model,year,city,body,mileage,transmission,wheel,color,drive,price,volume,fuel
Renault,Logan,2014,Нур-Султан (Астана),седан,160000.0,автомат,слева,белый,передний привод,3250000,1.6,бензин
Porsche,Cayenne,2012,Кызылорда,кроссовер,150000.0,автомат,слева,черный,полный привод,13500000,3.6,бензин
Subaru,Forester,2009,Алматы,кроссовер,98000.0,автомат,слева,синий металлик,полный привод,5500000,2.5,бензин
Toyota,Caldina,1995,Алматы,универсал,,автомат,справа,зеленый,полный привод,2000000,2.0,бензин
Renault,Kaptur,2020,Нур-Султан (Астана),кроссовер,,автомат,слева,,полный привод,10835000,1.3,бензин
Audi,A6,2004,Алматы,седан,,автомат,слева,черный,полный привод,4000000,4.2,бензин
Renault,Kaptur,2020,Уральск,кроссовер,,автомат,слева,,полный привод,8930000,1.3,бензин
Kia,Sportage,2014,Нур-Султан (Астана),кроссовер,92000.0,автомат,слева,белый,полный привод,7590000,2.0,бензин
Land Rover,Range Rover Sport,2006,Алматы,внедорожник,126000.0,автомат,слева,вишня металлик,полный привод,5700000,4.2,бензин
Hyundai,Tucson,2013,Нур-Султан (Астана),кроссовер,150000.0,автомат,слева,серый,полный привод,6690000,2.0,бензин
Changan,CS35PLUS,2020,Атырау,внедорожник,,механика,слева,белый,передний привод,9344000,1.6,бензин
Mercedes-Benz,E 280,2007,Семей,седан,350.0,автомат,слева,черный,задний привод,4600000,3.0,бензин
Renault,Sandero,2014,Нур-Султан (Астана),хэтчбек,112000.0,автомат,слева,серый,передний привод,4000000,1.6,бензин
Jeep,Cherokee,2011,Алматы,внедорожник,120000.0,автомат,слева,черный металлик,полный привод,9000000,3.7,газ-бензин
Renault,Duster,2020,Атырау,кроссовер,,механика,слева,,полный привод,8124000,1.6,бензин
Nissan,Murano,2006,Актобе,кроссовер,276000.0,автомат,слева,золотистый,,3450000,3.5,газ-бензин
Renault,Logan,2020,Алматы,седан,,автомат,слева,черный металлик,передний привод,7600000,1.6,бензин
Volkswagen,Polo,2016,Актау,седан,34000.0,механика,слева,бронза металлик,передний привод,4800000,1.6,газ-бензин
Toyota,Camry,2018,Нур-Султан (Астана),седан,53351.0,автомат,слева,черный металлик,передний привод,13200000,2.5,бензин
Hyundai,Accent,2017,Алматы,седан,,автомат,слева,белый металлик,передний привод,3800000,1.4,бензин
Toyota,Land Cruiser Prado,2006,Алматы,внедорожник,187000.0,автомат,слева,серебристый металлик,полный привод,11455555,4.0,газ-бензин
Hyundai,Tucson,2019,Нур-Султан (Астана),кроссовер,11000.0,автомат,слева,белый,передний привод,11000000,2.0,бензин
Hyundai,Tucson,2018,Нур-Султан (Астана),кроссовер,18000.0,автомат,слева,белый,полный привод,10550000,2.0,бензин
Hyundai,Sonata,2016,Нур-Султан (Астана),седан,88000.0,автомат,слева,белый,передний привод,7500000,2.0,бензин
Kia,Sportage,2019,Алматы,кроссовер,20000.0,автомат,слева,серебристый металлик,полный привод,12300000,2.0,бензин
Nissan,Qashqai,2016,Нур-Султан (Астана),кроссовер,78000.0,автомат,слева,,передний привод,8250000,2.0,бензин
Toyota,Camry,2012,Семей,седан,182000.0,автомат,слева,серый,передний привод,8200000,2.5,бензин
Hyundai,Elantra,2007,Павлодар,седан,159000.0,автомат,слева,серебристый металлик,передний привод,3433333,1.6,бензин
